+---------------------------------------------------------------------+------------------------+
|                                name                                 |          city          |
| East Falmouth Elementary                                            | East Falmouth          |
| Falmouth High                                                       | Falmouth               |
| Lawrence                                                            | Falmouth               |
| Morse Pond School                                                   | Falmouth               |
| Mullen-Hall                                                         | Falmouth               |
| North Falmouth Elementary                                           | North Falmouth         |
| Teaticket                                                           | East Falmouth          |
| Farmington River Elementary                                         | Otis                   |
| Arthur M Longsjo Middle School                                      | Fitchburg              |
| Crocker Elementary                                                  | Fitchburg              |
| Fitchburg High                                                      | Fitchburg              |
| Goodrich Academy                                                    | Fitchburg              |
| McKay Elementary School                                             | Fitchburg              |
| Memorial Middle School                                              | Fitchburg              |
| Reingold Elementary                                                 | Fitchburg              |
| South Street Early Learning Center                                  | Fitchburg              |
| Abbott Memorial                                                     | Florida                |
| Charles Taylor Elementary                                           | Foxborough             |
| Foxborough High                                                     | Foxborough             |
| John J Ahern                                                        | Foxborough             |
| Mabelle M Burrell                                                   | Foxborough             |
| Vincent M Igo Elementary                                            | Foxborough             |
| Barbieri Elementary                                                 | Framingham             |
| Brophy                                                              | Framingham             |
| Cameron Middle School                                               | Framingham             |
| Charlotte A Dunning                                                 | Framingham             |
| Framingham High School                                              | Framingham             |
| Fuller Middle                                                       | Framingham             |
| Harmony Grove Elementary                                            | Framingham             |
| Hemenway                                                            | Framingham             |
| Juniper Hill School                                                 | Framingham             |
| King Elementary School                                              | Framingham             |
| Mary E Stapleton Elementary                                         | Framingham             |
| Miriam F McCarthy School                                            | Framingham             |
| Potter Road                                                         | Framingham             |
| Walsh Middle                                                        | Framingham             |
| Annie Sullivan Middle School                                        | Franklin               |
| Franklin Early Childhood Development Center                         | Franklin               |
| Franklin High                                                       | Franklin               |
| Helen Keller Elementary                                             | Franklin               |
| Horace Mann                                                         | Franklin               |
| J F Kennedy Memorial                                                | Franklin               |
| Jefferson Elementary                                                | Franklin               |
| Oak Street Elementary                                               | Franklin               |
| Parmenter                                                           | Franklin               |
| Remington Middle                                                    | Franklin               |
| Franklin County Technical                                           | Turners Falls          |
| Apponequet Regional High                                            | Lakeville              |
| Assawompset Elementary School                                       | Lakeville              |
| Freetown Elementary School                                          | East Freetown          |
| Freetown-Lakeville Middle School                                    | Lakeville              |
| George R Austin Intermediate School                                 | Lakeville              |
| Frontier Regional                                                   | South Deerfield        |
| Gardner Academy for Learning and Technology                         | Gardner                |
| Gardner Elementary School                                           | Gardner                |
| Gardner High                                                        | Gardner                |
| Gardner Middle School                                               | Gardner                |
| Chester Elementary                                                  | Chester                |
| Gateway Regional High                                               | Huntington             |
| Gateway Regional Middle School                                      | Huntington             |
| Littleville Elementary School                                       | Huntington             |
| Georgetown High School                                              | Georgetown             |
| Georgetown Middle School                                            | Georgetown             |
| Penn Brook                                                          | Georgetown             |
| Perley Elementary                                                   | Georgetown             |
| Gill Elementary                                                     | Gill                   |
| Great Falls Middle                                                  | Montague               |
| Hillcrest Elementary School                                         | Turners Falls          |
| Sheffield Elementary School                                         | Turners Falls          |
| Turners Fall High                                                   | Montague               |
| Beeman Memorial                                                     | Gloucester             |
| East Gloucester Elementary                                          | Gloucester             |
| Gloucester High                                                     | Gloucester             |
| Gloucester PreSchool                                                | Gloucester             |
| Plum Cove School                                                    | Gloucester             |
| Ralph B O'Maley Middle                                              | Gloucester             |
| Veterans Memorial                                                   | Gloucester             |
| West Parish                                                         | Gloucester             |
| Cuttyhunk Elementary                                                | Cuttyhunk              |
| Grafton High School                                                 | Grafton                |
| Grafton Middle                                                      | Grafton                |
| Millbury Street Elementary School                                   | Grafton                |
| North Grafton Elementary                                            | North Grafton          |
| North Street Elementary School                                      | Grafton                |
