+-----------------------------------------------------------------------------------+-----------------------+-----------+
|                                       name                                        | per_pupil_expenditure | graduated |
| Winchester High School                                                            | 16817.9               | 98.9      |
| Malden High                                                                       | 16747.63              | 82.1      |
| Gateway Academy                                                                   | 16705.23              | 50        |
| Greenleaf Academy                                                                 | 16705.23              | 36.4      |
| Haverhill High                                                                    | 16705.23              | 85.4      |
| Longmeadow High                                                                   | 16704.59              | 99.5      |
| Advanced Math and Science Academy Charter School                                  | 16675.46              | 98.6      |
| Northbridge High                                                                  | 16675.15              | 87.1      |
| Leblanc Therapeutic Day School                                                    | 16639.4               | 77.8      |
| Lowell High                                                                       | 16639.4               | 82.8      |
| The Career Academy                                                                | 16639.4               | 60.5      |
| Westfield High                                                                    | 16630.53              | 94.5      |
| Westfield Technical Academy                                                       | 16630.53              | 94.9      |
| Reading Memorial High                                                             | 16616.08              | 98.2      |
| Sturgis Charter Public School                                                     | 16561.31              | 98        |
| Dighton-Rehoboth Regional High School                                             | 16537.96              | 96.3      |
| Marshfield High                                                                   | 16526.74              | 97.1      |
| Milford High                                                                      | 16497.44              | 83.2      |
| Hopedale Jr Sr High                                                               | 16471.48              | 97.3      |
| Pembroke High School                                                              | 16435.27              | 95.1      |
| Granby Jr Sr High School                                                          | 16403.29              | 94.5      |
| Holbrook Middle High School                                                       | 16394.15              | 88.2      |
| Argosy Collegiate Charter School                                                  | 16388.31              | 68.6      |
| Winthrop High School                                                              | 16354.38              | 90.9      |
| Classical High                                                                    | 16351.7               | 86.4      |
| Fecteau-Leary Junior/Senior High School                                           | 16351.7               | 57.1      |
| Lynn English High                                                                 | 16351.7               | 81.5      |
| Lynn Vocational Technical Institute                                               | 16351.7               | 97.5      |
| Fitchburg High                                                                    | 16338.69              | 92.9      |
| Goodrich Academy                                                                  | 16338.69              | 80.2      |
| Athol High                                                                        | 16318.64              | 72.4      |
| Pioneer Charter School of Science II                                              | 16308.22              | 98        |
| Westford Academy                                                                  | 16256.4               | 99.1      |
| Taunton Alternative High School                                                   | 16239.97              | 79.3      |
| Taunton High                                                                      | 16239.97              | 94.4      |
| Middleborough High                                                                | 16198.65              | 95.3      |
| Peabody Veterans Memorial High                                                    | 16188.62              | 86.8      |
| Ashland High                                                                      | 16151.91              | 97.2      |
| Abington High                                                                     | 16143.23              | 93.8      |
| Oxford High                                                                       | 16137.05              | 89.7      |
| Dartmouth High                                                                    | 16107.25              | 93        |
| Clinton Senior High                                                               | 16102.46              | 92.9      |
| Beverly High                                                                      | 16081.38              | 92.9      |
| West Springfield High                                                             | 16081.37              | 90.7      |
| Pioneer Charter School of Science                                                 | 16080.76              | 98        |
| South Hadley High                                                                 | 16069.8               | 96.6      |
| Murdock Academy for Success                                                       | 16066.88              | 26.7      |
| Murdock High School                                                               | 16066.88              | 86        |
| North Andover High                                                                | 16052.29              | 98.1      |
| Oliver Ames High                                                                  | 16047.75              | 97.1      |
| Leicester High                                                                    | 16044.98              | 92.9      |
| Shepherd Hill Regional High                                                       | 15953.58              | 91.6      |
| Ware Junior/Senior High School                                                    | 15904.34              | 74.3      |
| Methuen High                                                                      | 15902.93              | 91.3      |
| Hampden Charter School of Science East                                            | 15888.59              | 94.5      |
| Hopkinton High                                                                    | 15870.07              | 99.7      |
| Holliston High                                                                    | 15822.37              | 95.9      |
| Whitman Hanson Regional                                                           | 15774.38              | 91        |
| Easthampton High                                                                  | 15682.73              | 89.8      |
| Blackstone Millville RHS                                                          | 15554.2               | 94.7      |
| Gardner Academy for Learning and Technology                                       | 15454.58              | 60.5      |
| Gardner High                                                                      | 15454.58              | 94        |
| Belchertown High                                                                  | 15420.41              | 97.1      |
| Wachusett Regional High                                                           | 15412.34              | 96.4      |
| Apponequet Regional High                                                          | 15402.08              | 96.6      |
| Foxborough Regional Charter School                                                | 15367.85              | 96.9      |
| Joseph Case High                                                                  | 15361.85              | 98.5      |
| Attleboro Community Academy                                                       | 15329.28              | 68        |
| Attleboro High                                                                    | 15329.28              | 94        |
| Fairhaven High                                                                    | 15287.17              | 93        |
| Hanover High                                                                      | 15268.87              | 99.5      |
| Smith Academy                                                                     | 15224.63              | 96        |
| Lunenburg High                                                                    | 15200.9               | 97.3      |
| Shrewsbury High School                                                            | 15200.15              | 98.1      |
| Center For Technical Education Innovation                                         | 15178.86              | 96.4      |
| Leominster Center for Excellence                                                  | 15178.86              | 84.6      |
| Leominster High School                                                            | 15178.86              | 96.2      |
| Tantasqua Regional Sr High                                                        | 15178.61              | 95.5      |
| Tantasqua Regional Vocational                                                     | 15178.61              | 98.2      |
| East Bridgewater JR./SR. High School                                              | 15155.67              | 96        |
| Auburn Senior High                                                                | 15022.63              | 92.4      |
| Mystic Valley Regional Charter School                                             | 15001                 | 98.8      |
| Narragansett Regional High                                                        | 14990.67              | 88.1      |
| Grafton High School                                                               | 14926.96              | 93.6      |
| Oakmont Regional High School                                                      | 14920.21              | 95.9      |
| North Attleboro High                                                              | 14664.85              | 95.1      |
| Bridgewater-Raynham Regional                                                      | 14606.21              | 96.2      |
| West Bridgewater Junior/Senior                                                    | 14595.33              | 96.3      |
| Melrose High                                                                      | 14565.67              | 97        |
| Atlantis Charter School                                                           | 14406.56              | 96.5      |
| Springfield International Charter School                                          | 13675.68              | 97        |
| Dracut Senior High                                                                | 13660.99              | 96.1      |
| TEC Connections Academy Commonwealth Virtual School                               | 10564.26              | 47.9      |
| Greater Commonwealth Virtual School                                               | 10043.6               | 47.6      |
+-----------------------------------------------------------------------------------+-----------------------+-----------+
